koi_disposition,int_koi_disposition,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ec,koi_model_snr,koi_depth,koi_tce_plnt_num,koi_impact_err1,koi_period,koi_teq,koi_steff_err1,ra,koi_slogg_err1,koi_duration_err1,koi_duration
CONFIRMED,1,0,0,0,0,25.8,874.8,2,0.059000000000000004,54.4183827,443,81,291.93422999999996,0.064,0.11599999999999999,4.507
FALSE POSITIVE,0,1,0,0,0,76.3,10829.0,1,5.126,19.89913995,638,158,297.00482,0.044000000000000004,0.0341,1.7822
FALSE POSITIVE,0,1,0,0,0,505.6,8079.2,1,0.115,1.7369524530000002,1395,157,285.53461,0.053,0.005370000000000001,2.4064099999999997
CONFIRMED,1,0,0,0,0,40.9,603.3,1,0.235,2.525591777,1406,169,288.75487999999996,0.07,0.042,1.6545
CONFIRMED,1,0,0,0,0,40.2,686.0,2,0.139,4.13443512,1160,189,296.28612999999996,0.054000000000000006,0.0673,3.1402
CONFIRMED,1,0,0,0,0,15.0,226.5,3,0.212,2.56658897,1360,189,296.28612999999996,0.054000000000000006,0.165,2.4290000000000003
CONFIRMED,1,0,0,0,0,161.9,4914.3,1,0.262,16.06864674,600,75,286.99948,0.083,0.0241,3.5347
CONFIRMED,1,0,0,0,0,4304.3,14231.0,1,0.001,2.470613377,1339,78,286.80847,0.024,0.00107,1.7431900000000002
CONFIRMED,1,1,0,0,0,5945.9,6674.7,1,0.159,2.2047354169999998,2048,76,292.24728,0.033,0.00203,3.88864
CONFIRMED,1,0,0,0,0,1741.5,9145.7,1,0.006999999999999999,3.5224984289999997,1521,112,281.28812,0.055,0.006529999999999999,3.19843
CONFIRMED,1,0,0,0,0,50.6,131.1,2,0.395,3.709214104,1206,105,295.64871,0.085,0.0427,2.6302
FALSE POSITIVE,0,1,0,0,0,622.1,17984.0,1,2.8510000000000004,11.52144606,753,155,297.07993,0.033,0.0114,3.6399
FALSE POSITIVE,0,1,0,0,0,2317.0,74284.0,1,0.031,19.22138894,698,182,295.81453999999997,0.052000000000000005,0.00235,4.798430000000001
FALSE POSITIVE,0,1,0,0,0,303.4,10479.0,1,0.11800000000000001,16.46983774,595,168,297.15442,0.08800000000000001,0.06,9.4378
CONFIRMED,1,0,0,0,0,87.2,1288.3,1,0.004,9.27358173,649,131,288.13824,0.065,0.0309,3.2875
CONFIRMED,1,0,0,0,0,65.4,1912.7,1,0.196,6.02930329,678,123,283.71088,0.02,0.0311,1.5821
FALSE POSITIVE,0,1,1,0,1,48.2,397.9,1,0.36,2.6963706519999997,1066,149,283.76547,0.09,0.0686,3.6129
CONFIRMED,1,0,0,0,0,28.9,363.3,2,0.243,3.94105221,1018,85,292.37613,0.098,0.0737,2.5984
FALSE POSITIVE,0,1,0,0,0,994.0,24927.0,1,0.0497,386.6030528,297,79,292.27374,0.013999999999999999,0.0184,6.8057
CONFIRMED,1,0,0,0,0,34.3,857.2,1,0.01,21.67699193,530,79,290.46512,0.075,0.0656,3.4555
CONFIRMED,1,0,0,0,0,28.2,934.7,1,0.006,4.99677968,917,175,297.80826,0.034,0.0762,2.1717
CONFIRMED,1,0,0,0,0,61.8,750.8,1,0.11199999999999999,4.280963604,1012,152,294.26581,0.032,0.042,2.875
FALSE POSITIVE,0,0,1,0,0,181.1,2211.7,1,0.042,1.50635409,1452,155,295.66522000000003,0.04,0.0483,1.5155
FALSE POSITIVE,0,0,0,1,0,642.7,18091.0,1,0.004,670.645531,196,100,296.69861000000003,0.032,0.131,53.412
FALSE POSITIVE,0,1,0,0,0,85.3,5123.3,1,6.912000000000001,61.256362800000005,505,184,283.72592000000003,0.07200000000000001,0.105,7.632999999999999
CONFIRMED,1,0,0,0,0,51.2,2213.9,2,0.337,41.19725502,439,75,286.99948,0.083,0.0633,4.6297
CONFIRMED,1,0,0,0,0,47.1,1036.9,3,0.32899999999999996,6.252962248999999,823,75,286.99948,0.083,0.0426,2.5819
CONFIRMED,1,0,0,0,0,80.0,1804.8,1,0.402,32.62876672,506,152,285.71854,0.05,0.057999999999999996,4.7971
CONFIRMED,1,0,0,0,0,19.1,652.0,2,0.335,91.7732862,359,152,285.71854,0.05,0.204,6.473
CANDIDATE,2,0,0,0,0,696.5,9802.0,1,0.016,4.959319244,1103,77,292.16705,0.11,0.0075,2.22739
FALSE POSITIVE,0,1,1,0,0,48.3,860.4,1,3.967,2.7012878010000003,1222,182,297.92365,0.091,0.0892,3.3827
CONFIRMED,1,0,0,0,0,29.5,460.0,1,0.154,4.49876511,1133,189,298.45685,0.052000000000000005,0.0934,3.7362
FALSE POSITIVE,0,1,0,0,0,513.4,11766.0,1,0.01,19.65120951,730,168,291.0939,0.09,0.0179,5.2514
CONFIRMED,1,0,0,0,0,166.7,601.6,1,0.005,5.412203927,1093,104,287.88732999999996,0.132,0.024,2.9472
CONFIRMED,1,0,0,0,0,141.1,2793.1,1,0.04,41.43958662,516,180,295.55505,0.153,0.08800000000000001,10.5989
CONFIRMED,1,0,0,0,0,43.4,1041.6,1,0.423,8.35389523,790,152,285.49924,0.036000000000000004,0.0518,2.2514
CONFIRMED,1,0,0,0,0,128.6,1487.3,1,0.235,4.1255434719999995,1243,173,291.93616000000003,0.055999999999999994,0.0362,3.1744
CONFIRMED,1,0,0,0,0,1406.8,16814.0,1,0.264,2.816504904,1219,74,297.01547,0.063,0.006659999999999999,2.5058700000000003
FALSE POSITIVE,0,1,1,0,0,236.1,8503.7,1,0.006,33.93373447,430,136,284.17233,0.03,0.10400000000000001,14.561
